year,max,min,mean
2001,29.99,19.49,24.73
2002,30.23,19.78,25
2003,29.75,19.7,24.72
2004,29.79,19.69,24.74
2005,29.6,19.58,24.58
2006,30.06,20.07,25.06
2007,29.84,19.69,24.77
2008,29.64,19.6,24.61
2009,30.3,19.94,25.11
2010,30.13,20.15,25.13
2011,29.82,19.58,24.67
2012,29.81,19.54,24.69
2013,29.81,19.83,24.82
2014,29.72,19.77,24.73
2015,29.9,19.96,24.91
2016,31.63,21.28,26.45
